Format,Format,,"src/main/java/controller/WaypViewController.java:492
src/main/java/controller/WaypViewController.java:496
src/main/java/controller/WaypViewController.java:500
src/main/java/controller/WaypViewController.java:504
src/main/java/controller/WaypViewController.java:508
src/main/java/controller/WaypViewController.java:512
src/main/java/controller/WaypViewController.java:516
src/main/java/controller/WaypViewController.java:564
src/main/java/controller/WaypViewController.java:571
src/main/java/controller/WaypViewController.java:578
src/main/java/controller/WaypViewController.java:585
src/main/java/controller/WaypViewController.java:593
src/main/java/controller/WaypViewController.java:599",
"Unable to decode the file","Impossible de décoder le fichier",,src/main/java/controller/WaypViewController.java:524,
waypoints,waypoints,,"src/main/java/controller/WaypViewController.java:605
src/main/java/controller/WaypViewController.java:1279
src/main/java/controller/WaypViewController.java:1300",
Left,Gauche,,src/main/java/controller/WaypViewController.java:665,
Bottom,Bas,,src/main/java/controller/WaypViewController.java:666,
Right,Droit,,src/main/java/controller/WaypViewController.java:667,
Top,Haut,,src/main/java/controller/WaypViewController.java:668,
"Bounding box with a margin of","Bounding box avec une marge de",,src/main/java/controller/WaypViewController.java:675,
"Copy to clipboard","Placé dans le presse papier",,"src/main/java/controller/WaypViewController.java:679
src/main/java/liveUpdate/checkUpdate.java:107",
"Turnpoints display","Affichage des balises",,src/main/java/controller/WaypViewController.java:743,
"Merge display and new file","Fusionner l'affichage et le nouveau fichier",,src/main/java/controller/WaypViewController.java:743,
"No waypoints in this GPS","Pas de waypoints sur ce GPS",,"src/main/java/controller/WaypViewController.java:835
src/main/java/controller/WaypViewController.java:1244
src/main/java/controller/WaypViewController.java:1247
src/main/java/controller/WaypViewController.java:1270
src/main/java/controller/WaypViewController.java:1589
src/main/java/controller/WaypViewController.java:1592
src/main/java/controller/WaypViewController.java:1610",
"GPS ready [Old Waypoints possibly erased]","GPS prêt [anciens waypoints effacés]",,src/main/java/controller/WaypViewController.java:844,
"Sending to GPS","Transfert GPS",,"src/main/java/controller/WaypViewController.java:846
src/main/java/controller/WaypViewController.java:1002",
"Long names","Noms longs",,"src/main/java/controller/WaypViewController.java:849
src/main/java/controller/WaypViewController.java:1005",
"Short names","Noms courts",,"src/main/java/controller/WaypViewController.java:852
src/main/java/controller/WaypViewController.java:1008",
Mixed,Mixte,,"src/main/java/controller/WaypViewController.java:855
src/main/java/controller/WaypViewController.java:1011",
"Sending to","Envoyer vers",,"src/main/java/controller/WaypViewController.java:1190
src/main/java/controller/WaypViewController.java:1196
src/main/java/controller/WaypViewController.java:1210
src/main/java/controller/WaypViewController.java:1216
src/main/java/controller/WaypViewController.java:1222",
Ready,Prêt,,src/main/java/controller/WaypViewController.java:1000,
"Gps memory cleared","Mémoire du GPS effacée",,src/main/java/controller/WaypViewController.java:1000,
